,Startup,Overview,Industries,Last Round,Total raised,Founders,Year Founded,Website,Status
174,WorkPay,"WorkPay is an end to end HR and payroll system offering time tracking, payroll management, and payouts to all banks in Kenya plus M-Pesa.",HR Management Human Resources,Seed,"$2,100,000.00",,,,
175,Xetova,Xetova is a Kenyan startup which provides technology solutions to the procurement ecosystem.,Information Technology Procurement Marketplace Software,Grant,–,,,,
176,Yusudi,"Yusudi is a social enterprise offering you talent recruitment services, management coaching, and customized training for your team",Human Resources Talent Acquisition,Seed,"$250,000.00",,,,
177,Zanifu,Zanifu was built with the idea of building local technical solutions to local problems,Credit Tech Finance And Innovation,Seed,–,,,,
178,ZUMI,"ZUMI connects apparel wholesalers and retailers in a transparent, affordable marketplace.",E-Commerce Retail,Venture,"$720,000.00",,,,
179,Vertical Agro,"Vertical Agro is an integrated independent grower, processor, exporter and marketer of fresh and frozen vegetables and fruits.",Agriculture Organic Food,Venture,"$4,250,000.00",,,,
180,Victory Farms,"Victory Farms is a Kenyan tilapia fish farm intended to provide affordable, accessible and healthy protein to the East African population.",Aquaculture Agriculture Natural Resources,Funding Round,–,,,,
181,Virtual City,Virtual City is a leading mobile software firm that develops and delivers mobile software solutions in Africa.,Digital Services,Venture,"$1,000,000.00",,,,
182,Watu Credit,Watu Credit Limited offers asset financing (motorcycles and three-wheelers) and group lending products (short-term and business loans),Finance Financial Services FinTech,Debt Financing,"$1,500,000.00",,,,
183,Wazi,Wazi is a digital mental health company providing therapy services to individuals and companies across Kenya.,Digital Health Care Mobile App,Grant,"$38,000.00",,,,
184,Wee Media,WeeMedia is a multi-brand & multi-channel media company in Africa.,News Digital Media Information Media Online Media Social Entrepreneurship Venture Capital,Seed,"$400,000.00",,,,
185,Wefarm,"Wefarm is a network and marketplace for small-scale farmers to share and access vital information, products and services without internet.",AgTech Machine Learning Farming SMS Internet,Series A,"$31,050,000.00",,,,
186,Western Seed,Western Seed was established in 1986 to address the problem of dismal yields of maize farmers in Kenya,Agriculture Farming AgTech,Venture,"$2,100,000.00",,,,
187,Wilmar Flowers,Wilmar Flowers exports summer flowers grown by small and medium sized farmers from Kenya.,Farming,Debt Financing,"$460,000.00",,,,
188,WorkPay,"WorkPay is an end to end HR and payroll system offering time tracking, payroll management, and payouts to all banks in Kenya plus M-Pesa.",HR Management Human Resources,Seed,"$2,100,000.00",,,,
189,Xetova,Xetova is a Kenyan startup which provides technology solutions to the procurement ecosystem.,Information Technology Procurement Marketplace Software,Grant,–,,,,
190,Yusudi,"Yusudi is a social enterprise offering you talent recruitment services, management coaching, and customized training for your team",Human Resources Talent Acquisition,Seed,"$250,000.00",,,,
191,Zanifu,Zanifu was built with the idea of building local technical solutions to local problems,Credit Tech Finance And Innovation,Seed,–,,,,
192,ZUMI,"ZUMI connects apparel wholesalers and retailers in a transparent, affordable marketplace.",E-Commerce Retail,Venture,"$720,000.00",,,,
193,Titan Market,Titan Market enables SMEs to create customizable online stores easily,"SMEs, eCommerce",NaN,NaN,Charles Ivia,2018.0,https://titanmarket.co.ke,Alive
